DOI,Title,Category,Description
10.1145/3649165.3699862,The Innovative Development of Artificial Intelligence and STEM Education-Cognition and Practice,Artificial Intelligence in Education,"The paper explores the integration of artificial intelligence into STEM education, emphasizing the creation of new learning scenarios and applications such as immersive teaching and personalized services. It highlights the role of AI in enhancing educational processes and the importance of teachers in leveraging AI to foster innovative talent development through human-machine collaboration."
10.1145/3654777.3676390,LessonPlanner: Assisting Novice Teachers to Prepare Pedagogy-Driven Lesson Plans with Large Language Models,Human-Computer Interaction,"The paper introduces LessonPlanner, a tool that assists novice teachers in creating pedagogy-driven lesson plans using large language models (LLMs). Through a formative study and a within-subjects study, the authors demonstrate that LessonPlanner improves the quality of lesson plans and reduces preparation workload compared to a baseline interface, while expert interviews highlight its effectiveness in suggesting teaching strategies and resources."
10.1145/3687311.3687404,Fairness of Large Language Models in Education,Artificial Intelligence,"The paper examines the fairness of Large Language Models in educational contexts, identifying potential biases and proposing strategies to enhance fairness through pre-processing, in-processing, and post-processing techniques. It contributes by advocating for a multidimensional approach to ensure inclusivity and fairness while leveraging AI's transformative potential in education."
10.1145/3637528.3671498,AI for Education (AI4EDU): Advancing Personalized Education with LLM and Adaptive Learning,Artificial Intelligence,"The paper discusses the application of large language models (LLMs) and adaptive learning in personalized education, highlighting their role as mediators in human-in-the-loop education systems to enhance personalization, flexibility, and collaboration. It identifies the potential benefits and challenges of integrating these AI technologies in educational settings, aiming to foster discussion among researchers and practitioners on advancing personalized education through AI."
10.1145/3664476.3670446,Assessing the Impact of Large Language Models on Cybersecurity Education: A Study of ChatGPT's Influence on Student Performance,Cybersecurity Education,"This paper empirically assesses the impact of ChatGPT on cybersecurity students' academic performance by comparing three groups with varying levels of access to the tool over three years. The study finds that while students perform similarly on weekly assignments regardless of ChatGPT access, their performance on final exams declines, highlighting potential over-reliance on AI tools for learning."
10.1145/3657604.3664677,Scaling Generated Feedback for Novice Teachers by Sustaining Teacher Educators' Expertise: A Design to Train LLMs with Teacher Educator Endorsement of Generated Feedback,Artificial Intelligence,"The paper presents a design for training large language models (LLMs) to generate educationally purposeful feedback for novice teachers by incorporating endorsements from experienced mathematics teacher educators. It details the infrastructure and user interface design within the Teacher Moments platform to scale and sustain expert feedback, enhancing the learning experience for novice teachers in ambitious and equitable mathematics teaching practices."
10.1145/3626203.3670577,Enabling access to large-language models (LLMs) at scale for higher education,Human-Computer Interaction,"The paper introduces the Tufts Technology Services (TTS) LLM-Hub, a platform that simplifies access to large-language models (LLMs) for users of varying skill levels in higher education by providing Jupyter notebooks through Tufts Open OnDemand. This platform reduces technical barriers, facilitating the use of LLMs in educational and research settings, thereby enhancing data science and engineering instruction and research computing capabilities."
10.1145/3677045.3685461,Sustainability analysis of AI-based tools in higher education,Human-Computer Interaction (HCI),"The paper introduces the SusAF framework for analyzing the sustainability of AI-based tools in higher education, aiming to provide a holistic view of sustainability by incorporating it into design and development processes, thereby enhancing the longevity and impact of digital tools in educational settings."
10.1145/3637989.3637998,Development of chatbots connected to Learning Management Systems for the support and formative assessment of students,Artificial Intelligence,"The paper presents the development of chatbots integrated with Learning Management Systems to provide personalized support and formative assessment for students in higher education. By leveraging Large Language Models and course-specific content, the system offers tailored responses to student inquiries, enhancing the learning experience through updated and contextually relevant information."
10.1145/3613904.3642379,A Piece of Theatre: Investigating How Teachers Design LLM Chatbots to Assist Adolescent Cyberbullying Education,Human-Computer Interaction,"The paper presents a no-code chatbot design tool for K-12 teachers, leveraging large language models and prompt chaining to facilitate the creation of customized dialogue flows for cyberbullying education. The study explores teachers' unique requirements in designing chatbots and highlights how such tools can empower educators to simulate cyberbullying scenarios, allowing students to practice appropriate responses in a controlled environment."
10.1145/3641032.3641055,Advancements and Challenges of Generative AI in Higher Educational Content Creation A Technical Perspective,Artificial Intelligence,"The paper investigates the integration of Generative AI in higher education content creation, analyzing its impacts on efficiency, productivity, quality, and adaptability through literature review and case studies. It provides insights into practical applications of AI tools, ethical considerations, and the evolving role of educators, aiming to guide stakeholders in leveraging AI for personalized learning and improved educational experiences."
10.1145/3700297.3700342,Opportunities and Challenges in the Cultivation of Software Development Professionals in the Context of Large Language Models,Software Engineering,"The paper analyzes the impact of Large Language Models (LLMs) on the cultivation of software development professionals, identifying both opportunities and challenges such as enhanced programming efficiency and the risk of over-reliance on tools. It proposes strategies for adapting professional education to these technological changes, aiming to better prepare future software developers."
10.1145/3686852.3687083,Enhancing classroom teaching with LLMs and RAG,Artificial Intelligence,"The paper explores the use of Retrieval-Augmented Generation (RAG) pipelines, leveraging course materials as data sources, to assist K–12 students in obtaining up-to-date information. It evaluates the effectiveness of Reddit as a data source for cybersecurity information, finding it inadequate, and demonstrates a methodology for assessing data sources' suitability for educational purposes."
10.1145/3605098.3636108,Equity and Fairness Challenges in Online Learning in the Age of ChatGPT,Human-Computer Interaction,"The paper explores the equity and fairness challenges in online learning environments enhanced by large language models like ChatGPT, identifying a novel concern termed ""Ignorant Bias,"" where these models may provide misleading tutoring in the absence of human instructors, potentially harming learners. The main contribution is highlighting this specific form of inequity and illustrating it with an example, emphasizing the need for addressing such biases in online education."
10.1145/3626253.3635398,Is ChatGPT the Academic Catalyst We've all been Waiting For?,Artificial Intelligence in Education,"The paper investigates the impact of ChatGPT on STEM education by conducting a controlled experiment with math and computer science students, revealing that while ChatGPT can assist in problem-solving, it may lead to inaccuracies and less optimal solutions. The study highlights the benefits and challenges of integrating AI tools in educational settings, providing insights for educators and students to better adapt to AI advancements."
10.1145/3641235.3664430,Emerging Approaches in CG Education Aimed at Enhancing Visual Communication Skills through Reverse Engineering,Computer Graphics,"The paper introduces a novel educational approach in computer graphics production by employing reverse engineering techniques to enhance visual communication skills. It develops tools like the ""Philosophical Observation Decomposition Table"" and ""Concept Decomposition Table"" to analyze the interplay between language and visuals, and suggests integrating AI technologies to broaden CG education to include soft skills such as communication and creativity."
10.1145/3691620.3695470,JavaBench: A Benchmark of Object-Oriented Code Generation for Evaluating Large Language Models,Artificial Intelligence,"The paper introduces JavaBench, a benchmark specifically designed to evaluate large language models' (LLMs) capabilities in generating Java code, focusing on advanced object-oriented programming features. It addresses the imbalance in existing benchmarks by providing a project-level Java benchmark and demonstrates that LLMs currently lag behind undergraduate students in Java code generation, offering a new resource for assessing and improving LLM performance in this area."
10.1145/3689370,Exploring the Role of ChatGPT in Higher Education Institutions: Where does Latin America Stand?,Human-Computer Interaction,"The paper investigates the adoption and application of ChatGPT in higher education institutions in Ecuador, Chile, and Costa Rica, highlighting the varied levels of engagement among academic and administrative staff. It contributes by providing insights into the challenges and potential of integrating ChatGPT in Latin American universities, emphasizing the need for strategic planning and training to address issues like content discernment and student inequalities."
10.1145/3678610.3678625,Students' Perceptions and Intentions Regarding ChatGPT Usage in Higher Education,Human-Computer Interaction,"This paper investigates undergraduate students' perceptions and intentions regarding the use of ChatGPT in higher education, revealing a moderate perception but high intention to use the technology. The study identifies a positive correlation between students' perceptions and intentions, contributing to understanding the implications of ChatGPT usage in educational settings."
10.1145/3670653.3677507,Understanding the Adoption of ChatGPT in Higher Education: A Comparative Study with Insights from STEM and Business Students,Human-Computer Interaction,"The paper investigates the adoption of ChatGPT in higher education by examining the attitudes and experiences of STEM and business students towards generative AI technologies. It employs a mixed methods approach to identify factors influencing AI adoption, providing insights that can guide the integration of AI tools in educational settings to cater to diverse academic needs."
10.1145/3613904.3642438,"Teachers, Parents, and Students' perspectives on Integrating Generative AI into Elementary Literacy Education",Human-Computer Interaction,"The paper explores the perspectives of teachers, parents, and students on the integration of generative AI systems into elementary literacy education, identifying both potential benefits and concerns. It contributes by proposing design strategies to address issues such as authorship, student agency, and bias, suggesting solutions like adult oversight and AI-role balancing to enhance educational outcomes."
10.1145/3672539.3686338,SelfGauge: An Intelligent Tool to Support Student Self-assessment in GenAI-enhanced Project-based Learning,Human-Computer Interaction,"The paper introduces SelfGauge, an intelligent tool designed to facilitate student self-assessment in project-based learning environments enhanced by generative AI. The tool aids students in defining assessment criteria, obtaining feedback, and reflecting on their performance, thereby promoting continuous self-improvement in the context of GenAI usage and project artifact creation."
10.1145/3573051.3593393,GPTeach: Interactive TA Training with GPT-based Students,Human-Computer Interaction,"The paper introduces GPTeach, an interactive tool for training novice teachers using GPT-based simulated students, allowing them to practice teaching without impacting real students. The study demonstrates that GPTeach enhances teaching practice by providing a flexible and engaging environment, and it offers insights and design ideas for future teacher training systems."
10.1145/3610978.3638160,3rd Workshop on Human-Interactive Robot Learning (HIRL),Human-Robot Interaction,"The paper discusses the third workshop on Human-Interactive Robot Learning (HIRL), focusing on consolidating the community around teachable robots that learn interactively from humans. It highlights the impact of Large Language Models on robot teaching and explores the challenges and opportunities of robots as embodied agents."
10.1145/3698322.3698346,Phrasebooks Can Teach Us ChatGPT: Decoding Prompt Crafting as Function Allocation,Human-Computer Interaction,"The paper introduces the concept of 'Prompting Phrasebooks' as a structured method to improve interactions with AI systems like ChatGPT, advocating for a shift from command-based to language-centric prompt engineering. It presents 'Prompt Pattern Languages' as a practical framework for users to engage effectively with AI, demonstrated through an application in AI-assisted email composition, thereby offering a new direction for teaching and mastering prompt crafting."
10.1145/3689484.3690738,Automated Generation of Code Contracts: Generative AI to the Rescue?,Software Engineering,"The paper explores the use of Generative AI, specifically fine-tuned Large Language Models like CodeT5 and CodeT5+, to automatically generate code contracts in the form of pre- and postconditions for Java projects. It demonstrates that over 95% of the generated contracts are syntactically correct and semantically valid, potentially facilitating broader adoption of Design by Contract in software development."
10.1145/3644815.3644987,Custom Developer GPT for Ethical AI Solutions,Artificial Intelligence,The paper introduces a custom Generative Pre-trained Transformer (GPT) designed to assist developers in addressing ethical issues in AI engineering by providing guidance on legal compliance and presenting diverse ethical perspectives. The main contribution is the development of a conversational agent that helps practitioners create AI solutions that adhere to legal standards and incorporate varied moral viewpoints.
10.1145/3695080.3695150,ChatGPT intervenes in the application analysis of higher education classrooms,Human-Computer Interaction,"The paper examines the impact of ChatGPT on higher education classrooms, highlighting both its potential benefits in enhancing intelligent teaching and self-directed learning, and its drawbacks such as impairing independent thinking and teacher-student relationships. It proposes strategies for integrating ChatGPT effectively by adapting teaching concepts, fostering critical awareness, and enforcing school regulations."
10.1145/3689215,GenAI in the Context of African Universities: A Crisis of Tertiary Education or Its New Dawn?,Artificial Intelligence in Education,"This paper explores the implications of generative artificial intelligence (GenAI) in African universities, identifying both opportunities and threats to tertiary education. It emphasizes the need for responsible integration of GenAI, proposing guidelines to balance technological advancements with traditional teaching methods, and highlights the potential for GenAI to enhance educational efficiency and accessibility while addressing ethical and infrastructural challenges."
10.1145/3636555.3636912,Analyzing Students Collaborative Problem-Solving Behaviors in Synergistic STEM+C Learning,Human-Computer Interaction,"The paper introduces a methodology to analyze students' collaborative problem-solving behaviors in computational modeling tasks by expanding the Self-Regulated Learning framework and employing a Markov Chain modeling approach. It identifies distinct behavioral differences between high- and low-performing students, suggesting the potential for adaptive scaffolding to improve collaborative problem-solving in educational settings."
10.1145/3510454.3522684,Is GitHub copilot a substitute for human pair-programming? an empirical study,Software Engineering,"The paper conducts an empirical study comparing the effectiveness of GitHub Copilot with human pair-programming in terms of code productivity and quality. It finds that while Copilot enhances productivity by increasing lines of code added, it results in lower code quality, as indicated by a higher number of lines of code being removed in subsequent stages."
10.1145/3628516.3659392,App Planner: Utilizing Generative AI in K-12 Mobile App Development Education,Human-Computer Interaction,"The paper introduces App Planner, an interactive tool leveraging generative AI to support K-12 students in mobile app development by facilitating problem articulation and idea generation through a chat-based interface. The main contribution is demonstrating the tool's effectiveness in enhancing students' creative thinking and awareness of the human impact of their app designs, as evidenced by positive feedback from usability tests with high-school students."
10.1145/3686852.3687069,The Future of Learning: Large Language Models through the Lens of Students,Human-Computer Interaction,"The paper investigates the interactions of students with ChatGPT, a large language model, highlighting their mixed emotions and ethical concerns about its use in education. It emphasizes the need for cautious application of such AI technologies in learning environments due to their human-like qualities and potential adverse consequences."
10.1145/3686852.3687075,Instructional Approaches Complementing the Use of Generative Artificial Intelligence in Higher Education,Human-Computer Interaction,"This paper investigates instructional strategies in higher education to effectively integrate generative AI into the learning process, proposing a combination of peer-supported incremental learning, a master/apprentice model, and a growth mindset to guide students' use of AI while preserving academic integrity."
10.1145/3613904.3642785,"The Promise and Peril of ChatGPT in Higher Education: Opportunities, Challenges, and Design Implications",Human-Computer Interaction,"The paper investigates the use of ChatGPT in higher education by conducting focus groups and participatory design sessions with students and stakeholders, identifying opportunities and challenges, and providing insights into how ChatGPT can be effectively integrated into educational settings."
10.1145/3691720.3691809,Exploration and research of generative artificial intelligence on higher vocational education,Artificial Intelligence in Education,"The paper investigates the impact of generative artificial intelligence on higher vocational education, focusing on its effects on students' learning experiences and teachers' roles. It proposes a shift towards a collaborative ""teacher-machine-student"" learning model to enhance educational outcomes and addresses the associated risks and challenges."
10.1145/3632634.3655852,IT Higher Education Teachers and Trust in AI-Enabled Ed-Tech: Implications for Adoption of AI in Higher Education,Human-Computer Interaction,"The paper investigates the factors influencing cognitive trust among IT higher education instructors in AI-enabled educational technology, highlighting how trust issues affect the adoption of AI in higher education. The study provides insights into the barriers to AI integration in academia and suggests that addressing transparency, reliability, and ethical concerns is crucial for broader acceptance and implementation."
10.1145/3686038.3686063,Investigating the Impact of Generative AI on Students and Educators: Evidence and Insights from the Literature,Human-Computer Interaction,"The paper investigates the impact of generative AI on students and educators in higher education by conducting a scientometric and text analysis of existing literature, revealing distinct usage patterns and shared concerns such as equity, rule clarity, and job displacement."
10.1145/3660043.3660178,Opportunities and Challenges of Generative Artificial Intelligence in Facilitating Learning for Chinese University Students,Human-Computer Interaction,"The paper investigates the perspectives of Chinese university students on the use of generative artificial intelligence technologies, such as ChatGPT, in their learning processes. It identifies the opportunities and challenges these technologies present, emphasizing the need for universities to adapt assignments and assessments to effectively integrate AI into education, thereby enhancing personalized learning and preparing students for an AI-driven future."
10.1145/3658619.3658627,The Potential and Implications of Generative AI on HCI Education,Human-Computer Interaction,"The paper explores the integration of generative AI into a 10-week undergraduate HCI module, highlighting its potential as a pedagogical tool. It provides insights into how AI can be used to develop project ideas, create design resources, and reflect students' understanding, while also discussing potential pitfalls and the importance of assessing students' AI literacy."
10.1145/3573051.3596191,Educator and Student Perspectives on the Impact of Generative AI on Assessments in Higher Education,Human-Computer Interaction,"The paper investigates the impact of generative AI on assessment practices in higher education by surveying educators and students to understand their perspectives. It highlights the need for assessment reform that incorporates AI usage, emphasizes critical thinking, and addresses concerns about academic integrity and creativity."
10.1145/3669754.3669806,Do Human Beliefs and Traits Influence the Adoption of ChatGPT among Programming Students?,Human-Computer Interaction,"The paper investigates the influence of human beliefs and traits on the adoption of ChatGPT among programming students, using the Theory of Reasoned Action. It identifies that academic stress and computer self-efficacy positively affect attitudes towards AI use in programming, while risk propensity, neuroticism, and social norms do not significantly impact attitudes or behavioral intentions, providing insights for both industry and academia."
10.1145/3663649.3664375,What Teaching Databases Taught Us about Researching Databases: Extended Talk Abstract,Databases,"The paper discusses the development of educational systems at Duke University designed to aid students in learning and debugging database queries, which have enhanced teaching scalability and inspired new research directions in database systems. It also highlights the emerging need for skills in evaluating AI-generated queries due to the rise of generative AI, proposing future research directions to address this challenge."
10.1145/3675416,Toward Effective AI Support for Developers: A survey of desires and concerns,Human-Computer Interaction,"The paper surveys the desires and concerns of software developers regarding the integration of AI tools into their workflows, highlighting the transformative potential of AI in enhancing productivity and creativity while addressing issues of transparency, education, and ethics."
10.1145/3641554.3701863,Large Language Models in Computer Science Education: A Systematic Literature Review,Computer Science Education,"This paper conducts a systematic literature review to evaluate the impact of large language models (LLMs) on computer science and engineering education, focusing on their effectiveness in improving learning experiences, supporting personalized education, and assisting educators in curriculum development. The study addresses key research questions to provide insights into the educational benefits, challenges, and future research directions related to the use of LLMs in educational settings."
10.1145/3641555.3705121,A Systematic Literature Mapping of Early Generative AI Research is CS Education,Computer Science Education,"The paper systematically maps 82 early publications on the impact of generative AI tools in computer science education, categorizing them by population, AI usage, and evaluation methods, providing a foundational literature map and a roadmap for future research in this emerging field."
10.1145/3641554.3701873,What Can Computer Science Educators Learn From the Failures of Top-Down Pedagogy?,Computer Science Education,"The paper examines the limitations of top-down pedagogy in computer science education, drawing parallels with historical educational debates in literacy and mathematics. It argues against the exclusive use of generative AI tools without foundational teaching, advocating for a balanced approach that considers cognitive, motivational, and social factors in pedagogy."
10.1145/3641555.3705080,Prompt-Engineering Strategies for Minimizing Bias in Large Language Model Outputs: Applications in Computing Education,Artificial Intelligence,"The paper explores prompt-engineering strategies to reduce bias in outputs from large language models, specifically within the context of computer science education. It provides empirical insights and practical strategies for educators to create fairness-aware educational content, contributing to the curriculum of Ethics in AI."
10.1145/3641555.3704749,Building AI-Powered Responsible Workforce by Integrating Large Language Models into Computer Science Curriculum,Computer Science Education,"The paper discusses an NSF-sponsored project aimed at integrating Large Language Models (LLMs) into the computer science curriculum to enhance students' programming, software development, and problem-solving skills while educating them on ethical AI practices. The project seeks to renovate the entire department-level curriculum, rather than individual courses, to prepare a new generation of AI-powered responsible developers."
10.1145/3702163.3702188,Exploring the Adoption of Generative AI Tools in Computer Science Education: A Student Survey,Human-Computer Interaction,"This paper investigates the adoption and use of generative AI tools by computer science students at the University of Applied Sciences Campus Vienna, revealing high acceptance and frequent use for academic tasks. It highlights the need for institutional guidelines and ethical considerations, contributing insights for educators and policymakers on integrating AI technologies responsibly in education."
10.1145/3716640.3716658,From Automation to Cognition: Redefining the Roles of Educators and Generative AI in Computing Education,Computing Education,"The paper explores the integration of Generative AI in computing education, proposing curriculum and assessment changes to enhance learning. It suggests redesigning assignments to focus on students' use of GenAI and emphasizes the role of educators in fostering critical thinking and self-evaluation, advocating for further research on the impact of GenAI in educational settings."
10.1145/3641554.3701872,Designing LLM-Resistant Programming Assignments: Insights and Strategies for CS Educators,Computer Science Education,"The paper investigates the effectiveness of Large Language Models (LLMs) in solving programming assignments and identifies their limitations, particularly in context-specific and visually-oriented tasks. It proposes strategies for educators to design assignments that resist LLM-generated solutions, ensuring authentic student engagement and learning."
10.1145/3709026.3709030,On Automated Essay Grading using Large Language Models,Artificial Intelligence,"The paper investigates the use of Large Language Models (LLMs) such as GPT-4, GPT-3.5, PaLM, and LLaMA2 for Automated Essay Grading (AEG), demonstrating that these models can achieve substantial agreement with human markers in essay scoring and provide qualitative feedback closely aligned with human assessments, thus highlighting their potential to improve educational assessment practices."
10.1145/3706468.3706530,Does Multiple Choice Have a Future in the Age of Generative AI? A Posttest-only RCT,Human-Computer Interaction,"The paper investigates the effectiveness of multiple-choice questions (MCQs) compared to open-response questions in learning, using a posttest-only randomized control trial with tutors. It finds that MCQs are as effective as open-response tasks but more time-efficient, and demonstrates the potential of GPT models for autograding open responses, contributing a dataset to support transparency and reproducibility in educational assessments."
10.1145/3689187.3709614,"Beyond the Hype: A Comprehensive Review of Current Trends in Generative AI Research, Teaching Practices, and Tools",Computing Education / Artificial Intelligence,"This paper conducts a comprehensive review of current trends in generative AI within computing education, highlighting its impact on teaching practices and tool development. It synthesizes findings from literature, surveys, and interviews to provide insights into how GenAI is being integrated into classrooms, offering personalized feedback and teaching both programming and prompting skills, thereby expanding the understanding of GenAI's role and perceptions in educational settings."
10.1145/3689187.3709607,AI Integration in the IT Professional Workplace: A Scoping Review and Interview Study with Implications for Education and Professional Competencies,Human-Computer Interaction,"The paper conducts a scoping review and interview study to explore the impact of AI technologies, such as generative AI and large language models, on IT professionals and computing curricula. It highlights the need for updated competency frameworks and educational curricula to prepare professionals for AI-driven workplaces, emphasizing the importance of understanding AI's role in task augmentation, privacy, security, and ethical challenges."
10.1145/3641555.3705252,Sociotechnical AI Education Course Design for CS Majors and Non-Majors,Computer Science Education,"The paper presents a socio-technical curriculum for an introductory AI course designed to be accessible to both CS majors and non-majors, aiming to democratize AI education and enhance inclusivity. It provides a detailed course structure with weekly activities that foster a multidisciplinary perspective, thereby equipping students with the necessary skills to engage with the ethical implications of AI technology."
10.1145/3706598.3713728,Artificial Intimacy: Exploring Normativity and Personalization Through Fine-tuning LLM Chatbots,Human-Computer Interaction,"The paper explores the personalization of chatbots by fine-tuning Large Language Models (LLMs) on individual social media data to create more intimate and normative interactions. It highlights the ethical implications of such personalization, particularly the emotional manipulation and expectations of reciprocity that arise from the mimicry of emotional connections in fine-tuned chatbots."
10.1145/3706468.3706481,Automatic Short Answer Grading in the LLM Era: Does GPT-4 with Prompt Engineering beat Traditional Models?,Artificial Intelligence,"The paper conducts a comparative analysis of traditional machine learning models and GPT-4, enhanced with prompt engineering, for Automatic Short Answer Grading (ASAG). It finds that while traditional models generally outperform LLMs, GPT-4 shows potential when optimized with specific prompt strategies, contributing insights into developing more efficient multilingual ASAG systems."
10.1145/3722229,Nurturing Code Quality: Leveraging Static Analysis and Large Language Models for Software Quality in Education,Software Engineering,"The paper investigates the integration of static analysis tools and Large Language Models (LLMs) like ChatGPT in educational settings to enhance software quality. It presents an experiment with 155 student submissions, revealing insights into the effectiveness of LLMs in code review and their impact on learning outcomes, ultimately advocating for the inclusion of code review practices in computing curricula to improve software quality awareness."
10.1145/3715112,With Great Power Comes Great Responsibility: The Role of Software Engineers,Software Engineering,"The paper outlines the evolving role of Software Engineers in the context of digital transformation and AI advancements, proposing 10 research challenges to prepare future engineers for technical, social, and ethical complexities. It emphasizes the need for redefining roles, integrating AI, transforming education, evolving standards, and assessing impacts to ensure responsible and skilled handling of the profession's evolving demands."
10.1145/3706598.3713731,TutorCraftEase: Enhancing Pedagogical Question Creation with Large Language Models,Artificial Intelligence,"The paper introduces TutorCraftEase, an interactive system utilizing large language models to assist teachers in generating pedagogical questions. The system allows for rapid question creation at various difficulty levels, significantly reducing teachers' workload and time while maintaining question quality comparable to those crafted by experienced educators."
10.1145/3706598.3713513,From Passive Watching to Active Learning: Empowering Proactive Participation in Digital Classrooms with AI Video Assistant,Human-Computer Interaction,"The paper introduces SAM, an AI-powered educational platform that integrates video content with a context-aware chat interface to facilitate active learning in digital classrooms. Through studies involving university students and crowdsourced participants, SAM demonstrated improved learning outcomes and high user satisfaction, highlighting its potential to enhance online education by encouraging proactive student engagement."
10.1145/3641555.3705187,From Code to Concepts: Textbook-Driven Knowledge Tracing with LLMs in CS1,Educational Technology,"The paper introduces a framework that utilizes Large Language Models (LLMs) to perform Knowledge Tracing in CS1 courses by analyzing student homework code submissions. This approach allows for dynamic updates of a student's knowledge state, enabling the provision of targeted feedback and personalized study materials, thereby enhancing the learning process."
10.1145/3706468.3706479,Feedback on Feedback: Student’s Perceptions for Feedback from Teachers and Few-Shot LLMs,Human-Computer Interaction,"The paper investigates the use of large language models (LLMs) for generating feedback for students in higher education and examines students' perceptions of such feedback. It finds that students generally cannot distinguish between LLM-generated and teacher-generated feedback, although they may resist auto-generated feedback when aware of its source, highlighting the importance of integrating teachers in the feedback process."
10.1145/3706598.3713447,How Do Hackathons Foster Creativity? Towards Automated Evaluation of Creativity at Scale,Human-Computer Interaction,"The paper conducted a computational analysis of 193,353 hackathon projects to study how hackathon formats foster creativity, refining the dataset to 10,363 projects based on usefulness and novelty. It identified strategies for organizers to enhance creativity in hackathons and explored the use of large language models to augment the evaluation of creative outcomes, offering insights for broader creativity research."
10.1145/3706598.3713773,Classroom Simulacra: Building Contextual Student Generative Agents in Online Education for Learning Behavioral Simulation,Artificial Intelligence,"The paper introduces a novel approach to simulate student learning behaviors in online education by developing a transferable iterative reflection (TIR) module that enhances large language models. This method improves the accuracy of student simulations by capturing detailed learning dynamics and inter-student correlations, utilizing data collected from a custom-built online education system."
10.1145/3706598.3714261,AutoPBL: An LLM-powered Platform to Guide and Support Individual Learners Through Self Project-based Learning,Human-Computer Interaction,"The paper introduces AutoPBL, a platform that integrates large language models (LLMs) to guide and support learners in self project-based learning (SPBL). Through a user study, the platform demonstrated improved learning outcomes and behaviors by providing structured guidance and timely assistance, enhancing the SPBL experience."
10.1145/3722237.3722354,Generative AI in Education: Developing Personalized Learning Experiences with Hyperspherical Variational Self-Attention Autoencoder,Artificial Intelligence,"The paper introduces the Hyperspherical Variational Self-Attention Autoencoder (HVSAE), a novel deep generative model that combines Variational Autoencoders and self-attention mechanisms to generate personalized educational content. This approach aims to alleviate teachers' workload and enhance students' learning outcomes by tailoring educational resources to individual learning situations."
10.1145/3708359.3712104,Exploring the Design Space of Cognitive Engagement Techniques with AI-Generated Code for Enhanced Learning,Human-Computer Interaction,"The paper explores cognitive engagement techniques to enhance learning for novice programmers using AI-generated code, identifying and refining methods that promote deeper engagement and improve skill development. The main contribution is the identification of an effective technique that involves guiding learners through a step-by-step problem-solving process with interactive AI dialog, improving their ability to apply programming concepts independently."
10.1145/3641555.3705272,Traversing New Horizons: An Exploration of Educational Policies on Generative AI,Artificial Intelligence,"The paper explores how tertiary academic institutions are integrating generative AI into their course policies by analyzing over 100 university policies and syllabi using NLP and unsupervised clustering techniques. Its main contribution is providing insights into the patterns and best practices of AI policy discussions across different institutions, highlighting the ethical considerations and challenges in educational settings."
10.1145/3708036.3708178,The Role of Generative AI in Higher Education: A Decade of Current Status and Future Prospects,Artificial Intelligence,"This paper conducts a comprehensive bibliometric and scientometric analysis of the application of Generative AI in higher education over the past decade, highlighting its impact on personalized learning, teaching assessment, and interdisciplinary education. It identifies trends and challenges, such as academic integrity and educational equity, providing insights for future research and discussions in the field."
10.1145/3722237.3722310,Research on Steganography Course with Large Language Model ChatGPT Assisted Learning,Human-Computer Interaction,"The paper explores the integration of large language models, specifically ChatGPT, into a Steganography course to enhance teaching and learning outcomes. It demonstrates that using ChatGPT can improve students' understanding and skills in Steganography by fostering active observation, independent research, and critical thinking, aligning with industry requirements."
10.1145/3706468.3706533,Configuring and Monitoring Students' Interactions with Generative AI Tools: Supporting Teacher Autonomy,Human-Computer Interaction,"The paper presents a system designed to enhance teacher autonomy by allowing educators to monitor and control students' interactions with Generative AI tools, aligning AI outputs with educational objectives. The system was evaluated with secondary-school teachers, demonstrating its usefulness in monitoring student behavior and increasing teacher control over AI-generated content, while also gathering feedback for further development."
10.1145/3706598.3713460,PAIGE: Examining Learning Outcomes and Experiences with Personalized AI-Generated Educational Podcasts,Human-Computer Interaction,"The paper investigates the effectiveness of AI-generated podcasts as an educational tool by converting textbook chapters into personalized audio content tailored to individual learner profiles. It demonstrates that personalized AI-generated podcasts enhance learning outcomes and engagement compared to traditional textbook reading, offering insights and design recommendations for integrating AI in educational settings."
10.1145/3706598.3713971,Co-designing Large Language Model Tools for Project-Based Learning with K12 Educators,Human-Computer Interaction,"The paper explores the co-design process with K-12 educators to integrate large language models into project-based learning, addressing challenges in project design, management, and assessment. It contributes by proposing design guidelines for LLM tools that support teachers in enhancing personalized learning and automating routine tasks, while considering ethical concerns and resource constraints."
10.1145/3701716.3717527,One Size doesn't Fit All: A Personalized Conversational Tutoring Agent for Mathematics Instruction,Artificial Intelligence,"The paper introduces PACE, a personalized conversational tutoring agent designed for mathematics instruction, which adapts to individual learning styles using the Felder and Silverman model. By employing the Socratic method and personalized teaching strategies, PACE enhances student engagement and learning outcomes, demonstrating superior performance in personalizing educational experiences compared to existing methods."
10.1145/3706598.3713714,"""Here the GPT made a choice, and every choice can be biased"": How Students Critically Engage with LLMs through End-User Auditing Activity",Human-Computer Interaction,"The paper investigates how students critically engage with Large Language Models (LLMs) through user studies, revealing that students often struggle to identify and evaluate biases in LLMs without guidance. It highlights the need for improved university policies and provides recommendations to better support students in developing AI literacy skills."
10.1145/3708036.3708256,Visual analytics of the current status and trends in artificial intelligence education based on big data,Artificial Intelligence in Education,"The paper utilizes visualization analytic tools VOSviewer and CiteSpace to analyze research trends and hotspots in artificial intelligence education over the past decade, identifying key topics such as flipped classrooms, dropout prediction, and large language models, while also highlighting future research trends including the integration of AI in education and associated ethical challenges."
