doi,title,relevance,category,explanation
10.1109/ICEED62316.2024.10923780,Enhancing STEM Education with ChatGPT: A Case Study on Developing Practice Assessments for C Programming,RELEVANT,lower-computing,[introductory programming course]
10.1109/EDUCON60312.2024.10578746,Developing Critical Thinking Practices Interwoven with Generative AI Usage in an Introductory Programming Course,RELEVANT,lower-computing,[introductory programming course]
10.1109/MIPRO60963.2024.10569736,Enhancing Programming Education with Open-Source Generative AI Chatbots,RELEVANT,lower-computing,[Introduction to Programming]
10.1109/EDUCON62633.2025.11016313,Integration of Ai Tools into an Ai-Driven Software System to Make Learning Programming Easier,RELEVANT,lower-computing,"[not explicitly mentioned, but context suggests introductory programming]"
10.1109/EDUCON60312.2024.10578718,Solving Computer Science 2 Tasks: Students’ Reflections on the Use of ChatGPT,RELEVANT,upper-computing,[Computer Science II]
10.1109/ISEC61299.2024.10665172,ChatGPT in the Classroom: Experimentation in a Python Class for Non-Computing Majors,RELEVANT,lower-computing,[Introduction to Computing]
10.1109/ICONAT61936.2024.10774681,Study on Students' Perceptions of Generative AI in Learning Programming Courses,NOT_RELEVANT,,[not specified]
10.1109/JICV59748.2023.10565716,Why ChatGPT Isn't Introductory Programming Freshmen's Best Friend,RELEVANT,lower-computing,[Introductory Programming]
10.1109/SCSE61872.2024.10550837,Analyzing the Learning Effectiveness of Generative AI for Software Development for Undergraduates in Sri Lanka,RELEVANT,upper-computing,[Software Development]
10.1109/EDUCON60312.2024.10578921,CodeWizardry,RELEVANT,,"[not specified, but context suggests programming education]"
10.1109/HNICEM60674.2023.10589162,Exploring Student Preference between AI-Powered ChatGPT and Human-Curated Stack Overflow in Resolving Programming Problems and Queries,RELEVANT,lower-computing,"[not explicitly mentioned, but context suggests introductory programming]"
