doi,title,relevance,category,explanation
10.1109/EDUCON60312.2024.10578564,Software Development and Education: Transitioning Towards AI Enhanced Teaching,RELEVANT,upper-computing,[software development education]
10.1109/EDUCON60312.2024.10578884,ChatGPT in the Classroom: A Shift in Engineering Design Education,RELEVANT,upper-computing,[Electrical Engineering Design Proficiency]
10.1109/FIE61694.2024.10893132,GAIDE: A Framework for Using Generative AI to Assist in Course Content Development,NOT_RELEVANT,,[N/A]
10.1109/CSCI62032.2023.00278,ChatGPT Implications on Higher Education: Educational Apocalypse or Educational Reboot? A Developing Countries Perspective,NOT_RELEVANT,,[N/A]
10.1109/CONISOFT63288.2024.00048,Exploring LLM Tools Through the Eyes of Industry Experts and Novice Programmers,RELEVANT,upper-computing,[software development projects]
10.1109/ITME63426.2024.00174,Exploration of the Reform of Programming Courses Based on Generative AI,RELEVANT,lower-computing,[programming courses]
10.1145/3597503.3639187,Using an LLM to Help with Code Understanding,NOT_RELEVANT,upper-computing,[N/A]
10.1109/ISCSIC64297.2024.00064,JavaLLM: A Fine-Tuned LLM for Java Programming Education,RELEVANT,lower-computing,[Java programming courses]
10.1109/ACCESS.2025.3541424,Generative AI in Engineering and Computing Education: A Scoping Review of Empirical Studies and Educational Practices,NOT_RELEVANT,,[N/A]
10.1109/EDUCON60312.2024.10578838,Evaluating the Application of Large Language Models to Generate Feedback in Programming Education,RELEVANT,lower-computing,[programming tasks]
10.1109/IISA59645.2023.10345949,Is ChatGPT Beneficial to Education? A Holistic Evaluation Framework Based on Intelligent Tutoring Systems,NOT_RELEVANT,,[N/A]
10.1109/MIS.2023.3255599,Rethinking Homework in the Age of Artificial Intelligence,RELEVANT,lower-computing,[introductory courses]
10.1109/CONCAPAN63470.2024.10933867,Improving the Efficacy of an Automated Judging System in an Introductory Programming Class using a Large Language Model,RELEVANT,lower-computing,[Introduction to Programming]
10.1109/ICWR65219.2025.11006172,Assessing Large Language Models as Agile Scrum Masters: A Comparative Study of Project Planning Efficiency,NOT_RELEVANT,upper-computing,[N/A]
10.1109/SIIE59826.2023.10423681,Integration of Large Language Models into Higher Education: A Perspective from Learners,NOT_RELEVANT,,[N/A]
10.1049/icp.2023.1537,ChatGPT's use case for software engineers,RELEVANT,upper-computing,[software engineering]
10.1109/EDUNINE62377.2025.10981409,Adapting Program Assessment for the Age of Generative AI,RELEVANT,,[not specified]
10.1109/ITHET61869.2024.10837643,Mapping the Educational Revolution: A Bibliometric Analysis of ChatGPT's Impact on Teaching and Learning,NOT_RELEVANT,,[not specified]
10.1109/EDUCON60312.2024.10578655,Shaping the Future: A Cross-Disciplinary Journey in Design and Technology Integration,RELEVANT,upper-computing,[Informatics and Design program]
10.1109/FIE61694.2024.10893165,A Systematic Evaluation of Code-generating Chatbots for Use in Undergraduate Computer Science Education,RELEVANT,lower-computing,[introductory programming]
10.1109/ACCESS.2025.3530474,Automated Generation of Multiple-Choice Questions for Computer Science Education Using Conditional Generative Adversarial Networks,RELEVANT,,[not specified]
10.1109/BotSE59190.2023.00008,Navigating Complexity in Software Engineering: A Prototype for Comparing GPT-n Solutions,RELEVANT,upper-computing,[Software Engineering]
10.1109/EDUCON62633.2025.11016470,AI Literacy: Evaluation of an AI Literacy Course for Engineers,RELEVANT,upper-computing,[AI Literacy]
10.1109/IDAP64064.2024.10710971,Academic Use of ChatGPT: Examining the Trends According to Disciplines,NOT_RELEVANT,,[not specified]
10.1109/ITT59889.2023.10184267,Artificial Intelligence in Education: An Argument of Chat-GPT Use in Education,RELEVANT,,[not specified]
10.1109/EDUCON60312.2024.10578712,Does Industry 5.0 Need an Engineering Education 5.0? Exploring Potentials and Challenges in the Age of Generative AI,RELEVANT,upper-computing,[Engineering Education]
10.1109/UPCON62832.2024.10983088,Analyzing Student Engagement With ChatGPT: A Data-Analysis Perspective,NOT_RELEVANT,,[N/A]
10.1109/EDUCON62633.2025.11016655,Do Large Language Models Require Prior Knowledge for Learning? A Preliminary Study,RELEVANT,upper-computing,[Büchi automata]
10.1109/COMPSAC61105.2024.00252,Students' Perspectives on AI Code Completion: Benefits and Challenges,RELEVANT,lower-computing,[introductory programming]
10.1109/CSEET62301.2024.10662997,Assessing Software Development Competences Constructively Aligned in an Open-Web Format,RELEVANT,upper-computing,[software development]
10.1109/EDUCON62633.2025.11016517,Evaluating the Impact of Assistive AI Tools on Learning Outcomes and Ethical Considerations in Programming Education,RELEVANT,upper-computing,level programming]
10.1109/ICSA-C65153.2025.00070,An Exploratory Study on Architectural Smell Refactoring Using Large Languages Models,RELEVANT,upper-computing,[software engineering]
10.1145/3639474.3640068,Assessing AI Detectors in Identifying AI-Generated Code: Implications for Education,NOT_RELEVANT,,[N/A]
10.1109/MIPRO60963.2024.10569274,Student Perception of Using Generative AI Tools in Relation to Academic Integrity and Their Advantages and Disadvantages,NOT_RELEVANT,,[N/A]
10.1109/ICSCC62041.2024.10690334,Chatbots in Education: A Systematic Literature Review,NOT_RELEVANT,,[N/A]
10.1109/ICERCS63125.2024.10894980,Software Development Automation Using Generative AI,RELEVANT,upper-computing,[software development]
10.1109/BigData62323.2024.10825945,Resources Construction and LLM Fine-tuning for Education of Computer Science,RELEVANT,upper-computing,"[multiple courses including artificial intelligence, software engineering, digital logic]"
10.1109/ICLIE61478.2024.11015358,Generative AI-driven Digital Transformation in Education: Systematic Review and Future Research Directions,NOT_RELEVANT,,[N/A]
10.1109/ITIKD63574.2025.11005250,Developing a Framework for Using Large Language Models for Viva Assessments in Higher Education,RELEVANT,upper-computing,[viva assessments in higher education]
10.1109/ISIEA61920.2024.10607367,The Use of Chatbot and its Impact on Academic Achievement,RELEVANT,lower-computing,[programming languages]
10.1109/WAIE60568.2023.00016,"Harnessing the Potential of Chat GPT in Education: Unveiling its Value, Navigating Challenges, and Crafting Mitigation Pathways",NOT_RELEVANT,,[N/A]
10.1109/JICV59748.2023.10565703,Embracing the Future: Unveiling the Revolution of Human-AI Interaction in the Digital Education Era,NOT_RELEVANT,,[N/A]
10.1109/ISDFS60797.2024.10527283,Generative Artificial Intelligence in Latin American Higher Education: A Systematic Literature Review,NOT_RELEVANT,,[N/A]
10.1109/RE57278.2023.00033,Digital Design - Shaping a Sustainable Digital Future Requires a New Holistic Design Approach,NOT_RELEVANT,,[N/A]
10.1109/ITHET61869.2024.10837603,Exploring Academic Integrity in the Age of Generative AI,NOT_RELEVANT,,[N/A]
10.1109/CogInfoCom63007.2024.10894718,“Interactive AI for Software Development Learning: Shifting Focus to Requirement Specification”,RELEVANT,upper-computing,[software development]
10.1109/TrustCom63139.2024.00128,LLM4MDG: Leveraging Large Language Model to Construct Microservices Dependency Graph,NOT_RELEVANT,upper-computing,[microservices architecture]
10.1109/MC.2023.3313325,Educating Augmented Programmers,RELEVANT,,[programming education]
10.1109/MC.2024.3445068,Navigating the Landscape of AI-Generated Text Detection: Issues and Solutions for Upholding Academic Integrity,NOT_RELEVANT,,[academic integrity]
10.1109/MC.2024.3422589,Adapting to Generative Artificial Intelligence: Approaches in Higher Education Institutions,NOT_RELEVANT,,[higher education institutions]
