doi,title,relevance,category,explanation
10.1145/3627673.3679881,Boosting Large Language Models with Socratic Method for Conversational Mathematics Teaching,NOT_RELEVANT,,[N/A]
10.1145/3660650.3660663,Live Session Gamification using PrairieLearn,NOT_RELEVANT,upper-computing,year course]
10.1145/3643659.3643936,TAIiST CPS-UAV at the SBFT Tool Competition 2024,NOT_RELEVANT,,[N/A]
10.1145/3640457.3688047,Playlist Search Reinvented: LLMs Behind the Curtain,NOT_RELEVANT,,[N/A]
10.1145/3664647.3681251,Hallu-PI: Evaluating Hallucination in Multi-modal Large Language Models within Perturbed Inputs,NOT_RELEVANT,,[N/A]
10.1145/3579027.3608972,On Programming Variability with Large Language Model-based Assistant,NOT_RELEVANT,,[N/A]
10.1145/3589335.3641306,The 1st International Workshop on Graph Foundation Models (GFM),NOT_RELEVANT,,[N/A]
10.1145/3643991.3644903,Leveraging GPT-like LLMs to Automate Issue Labeling,NOT_RELEVANT,,[N/A]
10.1145/3584371.3613067,Physics-Guided Deep Generative Model For New Ligand Discovery,NOT_RELEVANT,,[N/A]
10.1145/3650212.3685308,FixCheck: A Tool for Improving Patch Correctness Analysis,NOT_RELEVANT,,[N/A]
10.1613/jair.1.13550,Get out of the BAG! Silos in AI Ethics Education: Unsupervised Topic Modeling Analysis of Global AI Curricula,NOT_RELEVANT,,[N/A]
10.1109/TCBB.2024.3477592,&lt;italic&gt;De Novo&lt;/italic&gt; Drug Design by Multi-Objective Path Consistency Learning With Beam A&lt;sup&gt;*&lt;/sup&gt; Search,NOT_RELEVANT,,[N/A]
10.1145/3636555.3636850,Feedback on Feedback: Comparing Classic Natural Language Processing and Generative AI to Evaluate Peer Feedback,NOT_RELEVANT,,[N/A]
10.1145/3678884.3681826,Challenges and Opportunities of LLM-Based Synthetic Personae and Data in HCI,NOT_RELEVANT,,[N/A]
10.1145/3627673.3679830,Distilling Large Language Models for Text-Attributed Graph Learning,NOT_RELEVANT,,[N/A]
10.1145/3582515.3609555,The Social Impact of Generative AI: An Analysis on ChatGPT,NOT_RELEVANT,,[N/A]
10.1145/3675249.3675307,BabyGAN for Facial Contour Reversion: AI Course Applications Using U-Net Architecture,RELEVANT,lower-computing,[AI practical courses in vocational colleges]
10.1145/3664934.3664955,Thinking Strategies Training to Support the Development of Machine Learning Understanding. A study targeting fifth-grade children,NOT_RELEVANT,,[N/A]
10.1145/3650212.3685554,Leveraging Natural Language Processing and Data Mining to Augment and Validate APIs,NOT_RELEVANT,,[N/A]
10.1145/3609266.3594546,Three Student-Centered Approaches to Integrate ChatGPT in the Online Classroom: Effective eLearning (Special Series),RELEVANT,,[N/A]
10.1145/3591196.3596818,CausalMapper: Challenging designers to think in systems with Causal Maps and Large Language Model,NOT_RELEVANT,,[N/A]
10.1145/3660826,Investigating Documented Privacy Changes in Android OS,NOT_RELEVANT,,[N/A]
10.1145/3657604.3664671,Nemobot: Crafting Strategic Gaming LLM Agents for K-12 AI Education,RELEVANT,lower-computing,12 AI education]
10.1145/3626253.3635602,An Investigation on Task Difficulty: Does Task Difficulty Depend on the Technology Used in Task Completion?,RELEVANT,,[N/A]
10.1145/3653644.3653662,Applications and Challenges of Large Language Models in Smart Government -From technological Advances to Regulated Applications,NOT_RELEVANT,,[N/A]
10.1145/3671151.3671327,The Case Teaching of Chinese Abstract in Natural Language Understanding Courses,RELEVANT,upper-computing,Natural Language Understanding Courses
10.1145/3637989.3638015,"Learning tool of chemical molecules for healthcare students based on 3D visualizations, Large Language Models and Linked Open Data",NOT_RELEVANT,,[N/A]
10.1145/3664647.3680827,FineCLIPER: Multi-modal Fine-grained CLIP for Dynamic Facial Expression Recognition with AdaptERs,NOT_RELEVANT,,[N/A]
10.1145/3635636.3664627,Mixed-Initiative Methods for Co-Creation in Scientific Research,NOT_RELEVANT,,[N/A]
10.1145/3680533.3697066,Study with Confucius: An AI-Based Immersive Educational Game with Multiple Educational Modes,NOT_RELEVANT,,[N/A]
10.1145/3657604.3664695,SimPal: Towards a Meta-Conversational Framework to Understand Teacher's Instructional Goals for K-12 Physics,NOT_RELEVANT,,[N/A]
10.1145/3650212.3680355,How Effective Are They? Exploring Large Language Model Based Fuzz Driver Generation,NOT_RELEVANT,,[N/A]
10.1145/3674805.3690753,Exploring LLM-Driven Explanations for Quantum Algorithms,RELEVANT,upper-computing,Quantum Algorithms
10.1145/3643991.3644910,Improving Automated Code Reviews: Learning From Experience,NOT_RELEVANT,,[N/A]
10.1145/3610978.3638377,The Question Is Not Whether; It Is How!,NOT_RELEVANT,,[N/A]
10.1613/jair.1.15960,The RL/LLM Taxonomy Tree: Reviewing Synergies Between Reinforcement Learning and Large Language Models,NOT_RELEVANT,,[N/A]
10.1145/3652583.3658597,Compact Visual Data Representation for Multimedia Search and Analytics,NOT_RELEVANT,,[N/A]
10.1145/3627673.3679091,"Transforming Digital Forensics with Large Language Models: Unlocking Automation, Insights, and Justice",NOT_RELEVANT,,[N/A]
10.1145/3626253.3635606,Integrating Personalized Parsons Problems with Multi-Level Textual Explanations to Scaffold Code Writing,RELEVANT,lower-computing,Introductory Programming
10.1145/3597503.3639107,Are Your Requests Your True Needs? Checking Excessive Data Collection in VPA App,NOT_RELEVANT,,[N/A]
10.1145/3626253.3635572,Math IDE: A Platform for Creating with Math,NOT_RELEVANT,,[N/A]
10.1145/3652628.3652689,Unleashing the Potential of Large Language Model: Zero-shot VQA for Flood Disaster Scenario,NOT_RELEVANT,,[N/A]
10.1145/3593013.3594067,Regulating ChatGPT and other Large Generative AI Models,NOT_RELEVANT,,[N/A]
10.1145/3640544.3645231,Assistant Dashboard Plus – Enhancing an Existing Instructor Dashboard with Difficulty Detection and GPT-based Code Clustering,RELEVANT,lower-computing,Programming Courses
10.1145/3603555.3603565,From ChatGPT to FactGPT: A Participatory Design Study to Mitigate the Effects of Large Language Model Hallucinations on Users,NOT_RELEVANT,,[N/A]
10.1145/3626253.3635482,Enhancing Formative Feedback at Scale with the Intelligent Feedback Assistant,NOT_RELEVANT,,[N/A]
10.1145/3631504.3631518,From Large Language Models to Databases and Back: A Discussion on Research and Education,RELEVANT,upper-computing,databases
10.1145/3657604.3664719,Ruffle&amp;Riley: From Lesson Text to Conversational Tutoring,NOT_RELEVANT,,[N/A]
10.1145/3637528.3671647,TnT-LLM: Text Mining at Scale with Large Language Models,NOT_RELEVANT,,[N/A]
10.1145/3696230.3696256,Automated Handwritten Essay Evaluation in Moodle: Leveraging Google Vision OCR and Mistral 7b,RELEVANT,lower-computing,Living in the IT Era
10.1145/3661167.3661218,LLM-Based Chatbots for Mining Software Repositories: Challenges and Opportunities,RELEVANT,upper-computing,software engineering
10.1145/3636555.3636883,Large language model augmented exercise retrieval for personalized language learning,NOT_RELEVANT,,[N/A]
10.1145/3583780.3615047,SANN: Programming Code Representation Using Attention Neural Network with Optimized Subtree Extraction,RELEVANT,upper-computing,programming
10.1145/3628096.3629066,The Promise and Perils of Generative AI: Case Studies in an African Context,NOT_RELEVANT,,[N/A]
10.1145/3650212.3652134,Automating Zero-Shot Patch Porting for Hard Forks,NOT_RELEVANT,,[N/A]
10.1145/3675094.3677545,Enabling On-Device LLMs Personalization with Smartphone Sensing,NOT_RELEVANT,,[N/A]
10.1145/3691620.3695531,Magneto: A Step-Wise Approach to Exploit Vulnerabilities in Dependent Libraries via LLM-Empowered Directed Fuzzing,NOT_RELEVANT,,[N/A]
10.1145/3663548.3688531,Towards Fine-Grained Sidewalk Accessibility Assessment with Deep Learning: Initial Benchmarks and an Open Dataset,NOT_RELEVANT,,[N/A]
10.1145/3640543.3645196,Jamplate: Exploring LLM-Enhanced Templates for Idea Reflection,NOT_RELEVANT,,[N/A]
10.1145/3700297.3700336,ChemGenX: AI in the Chemistry Classroom,NOT_RELEVANT,,[N/A]
10.1145/3626111.3628189,Toward Reproducing Network Research Results Using Large Language Models,RELEVANT,upper-computing,networking
10.1145/3631700.3665234,Towards Zero-shot Knowledge Graph building: Automated Schema Inference,NOT_RELEVANT,,[N/A]
10.1145/3657604.3662046,Plagiarism in the Age of Generative AI: Cheating Method Change and Learning Loss in an Intro to CS Course,RELEVANT,lower-computing,Intro to CS
10.1145/3643650.3658605,Synthetic Data Digital Twins and Data Trusts Control for Privacy in Health Data Sharing,NOT_RELEVANT,,[N/A]
10.1145/3629527.3651419,FootPrinter: Quantifying Data Center Carbon Footprint,NOT_RELEVANT,,[N/A]
10.1145/3597926.3598060,Who Judges the Judge: An Empirical Study on Online Judge Tests,NOT_RELEVANT,,[N/A]
10.1145/3686038.3686652,Examining the Feasibility of AI-Generated Questions in Educational Settings,RELEVANT,,[N/A] (The paper discusses the use of generative AI in educational settings but does not specify a particular computing course.)
10.1145/3573051.3593391,High-Resolution Course Feedback: Timely Feedback Mechanism for Instructors,RELEVANT,,[N/A] (The paper discusses the use of generative AI in organizing student feedback but does not specify a particular computing course.)
10.1145/3687123.3698291,Leveraging Large Multimodal Models to Augment Image-Based Building Damage Assessment,NOT_RELEVANT,,[N/A]
10.1145/3691720.3691728,Integrating ChatGPT into Human Morphology and Curriculum Ideology and Politic: Enhancing Learning and Engagement,NOT_RELEVANT,,[N/A]
10.1145/3636555.3636905,Predicting challenge moments from students' discourse: A comparison of GPT-4 to two traditional natural language processing approaches,RELEVANT,,[N/A] (The paper discusses the use of generative AI in detecting challenges in student discourse but does not specify a particular computing course.)
10.1145/3605390.3605400,VisionARy: Exploratory research on Contextual Language Learning using AR glasses with ChatGPT,NOT_RELEVANT,,[N/A]
10.1145/3670013.3670058,"Knowledge, Attitudes, and Practices on ChatGPT:Perspectives from Students and Teachers of De La Salle Santiago Zobel School",NOT_RELEVANT,,[N/A]
10.1145/3676507,"Good Intentions, Risky Inventions: A Method for Assessing the Risks and Benefits of AI in Mobile and Wearable Uses",NOT_RELEVANT,,[N/A]
10.1145/3581784.3613215,FORGE: Pre-Training Open Foundation Models for Science,NOT_RELEVANT,,[N/A]
10.1145/3613905.3650868,Advancing Knowledge Together: Integrating Large Language Model-based Conversational AI in Small Group Collaborative Learning,RELEVANT,,[N/A] (The paper discusses the use of generative AI in collaborative learning but does not specify a particular computing course.)
10.1145/3639475.3640112,An Empirical Study on Compliance with Ranking Transparency in the Software Documentation of EU Online Platforms,NOT_RELEVANT,,[N/A]
10.1145/3656650.3656688,"Playwriting with Large Language Models: Perceived Features, Interaction Strategies and Outcomes",NOT_RELEVANT,,[N/A]
10.1109/ASE56229.2023.00153,Generative Model-Based Testing on Decision-Making Policies,NOT_RELEVANT,,[N/A]
10.1145/3652037.3663942,Curious Learner: A Neuro-Symbolic Approach for Function Execution via Natural Language,NOT_RELEVANT,,[N/A]
10.1145/3640332,Rigorous Assessment of Model Inference Accuracy using Language Cardinality,NOT_RELEVANT,,[N/A]
10.1145/3641289,A Survey on Evaluation of Large Language Models,NOT_RELEVANT,,[N/A]
10.1145/3583131.3590512,Rethinking Population-assisted Off-policy Reinforcement Learning,NOT_RELEVANT,,[N/A]
10.1145/3673971.3674024,Base on GAN Combined with CNN Architecture to Generate Brain Stroke CT Images,NOT_RELEVANT,,[N/A]
10.1145/3584931.3607494,ReaderQuizzer: Augmenting Research Papers with Just-In-Time Learning Questions to Facilitate Deeper Understanding,NOT_RELEVANT,,[N/A]
10.1109/ICSE-Companion58688.2023.00087,GLAD: Neural Predicate Synthesis to Repair Omission Faults,NOT_RELEVANT,,[N/A]
10.1145/3649884,Augmenting Human Teams with Robots in Knowledge Work Settings: Insights from the Literature,NOT_RELEVANT,,[N/A]
10.1145/3664934.3664946,ChatGPT as an Artificial Intelligence (AI) Writing Assistant for EFL Learners: An Exploratory Study of its Effects on English writing Proficiency,NOT_RELEVANT,,[N/A]
10.1145/3511808.3557079,Fooling MOSS Detection with Pretrained Language Models,RELEVANT,lower-computing,[introductory programming]
10.1145/3696419,Malicious Participants and Fake Task Detection Incorporating Gaussian Bias,NOT_RELEVANT,,[N/A]
10.1145/3699761,MindScape Study: Integrating LLM and Behavioral Sensing for Personalized AI-Driven Journaling Experiences,NOT_RELEVANT,,[N/A]
10.1109/TASLP.2023.3317571,MetaEx-GAN: Meta Exploration to Improve Natural Language Generation via Generative Adversarial Networks,NOT_RELEVANT,,[N/A]
10.1145/3555776.3577652,Mapping Strategies for Declarative Queries over Online Heterogeneous Biological Databases for Intelligent Responses,NOT_RELEVANT,,[N/A]
10.1145/3584371.3612953,Leveraging Large Language Models for Predicting Microbial Virulence from Protein Structure and Sequence,NOT_RELEVANT,,[N/A]
10.1145/3703459,Towards the Development of a Copyright Risk Checker Tool for Generative Artificial Intelligence Systems,NOT_RELEVANT,,[N/A]
10.1145/3638584.3638634,Vietnamese Voice2Text: A Web Application for Whisper Implementation in Vietnamese Automatic Speech Recognition Tasks: Vietnamese Voice2Text,NOT_RELEVANT,,[N/A]
10.1145/3678610.3678630,Navigating the “Cooked” Data: A Framework for Understanding GenAI's Impact on Academic Writing and Learning,NOT_RELEVANT,,[N/A]
10.1145/3641237.3691669,Developing AI Literacy through Discussion and Practice: A Reflection on an AI Seminar,NOT_RELEVANT,,[N/A]
10.1145/3659677.3659824,Assessing the Robustness of Deep Learning-Based Gait Recognition Systems Against Adversarial Attacks,NOT_RELEVANT,,[N/A]
10.1145/3649158.3657041,Trustworthy Artificial Intelligence for Securing Transportation Systems,NOT_RELEVANT,,[N/A]
10.1145/3685235.3685237,Promoting Ethical Use of Generative AI in Education,NOT_RELEVANT,,[N/A]
10.1145/3664476.3670902,Analysis of the Capability and Training of Chat Bots in the Generation of Rules for Firewall or Intrusion Detection Systems,NOT_RELEVANT,,[N/A]
10.1145/3649158.3657043,"AI/ML, Graphs and Access Control: Towards Holistic Identity and Access Management",NOT_RELEVANT,,[N/A]
10.1145/3589335.3651582,Who is Creating Malware Repositories on GitHub and Why?,NOT_RELEVANT,,[N/A]
10.1145/3597503.3623316,CoderEval: A Benchmark of Pragmatic Code Generation with Generative Pre-trained Models,NOT_RELEVANT,,[N/A]
10.1145/3637989.3638014,Addressing Academic Misconduct in the Age of ChatGPT: Strategies and Solutions,NOT_RELEVANT,,[N/A]
10.1145/3643834.3660706,Movits: a Minimalist Toolkit for Embodied Sketching,NOT_RELEVANT,,[N/A]
10.1145/3512716.3512725,A Generative Approach to Enrich Arabic Story Text with Visual Aids,NOT_RELEVANT,,[N/A]
10.1145/3691016.3691035,The image-generative artificial intelligence Midjourney empowers Chinese landscape painting teaching and creation with positive nurturing,NOT_RELEVANT,,[N/A]
10.1145/3650400.3650606,Design and implementation of digital training evaluation management system based on AI's generative AI technology,NOT_RELEVANT,,[N/A]
10.1145/3613905.3650786,A Taxonomy for Human-LLM Interaction Modes: An Initial Exploration,NOT_RELEVANT,,[N/A]
10.1145/3678392.3678405,Learning Assessment for Open Education Learners in the Era of Generative Artificial Intelligence,NOT_RELEVANT,,[N/A]
10.1145/3555858.3555867,Working Backwards: Creating a Character Backstory Generation System Using Idealized Creative Writing Outputs: Creating a Character Backstory Generation System Using Idealized Creative Writing Outputs,NOT_RELEVANT,,[N/A]
10.1145/3660512.3665522,Digital Signatures for Authenticating Compressed JPEG Images,NOT_RELEVANT,,[N/A]
10.1145/3637907.3637988,Data-driven Personalized Learning,RELEVANT,,[N/A]
10.1109/TASLP.2023.3235202,Hierarchical Reinforcement Learning With Guidance for Multi-Domain Dialogue Policy,NOT_RELEVANT,,[N/A]
10.1145/3623462.3623475,Generative Ominous Dataset: Testing the Current Public Perception of Generative Art,NOT_RELEVANT,,[N/A]
10.1145/3641237.3691687,"Inviting ChatGPT into Technical Writing Classes: Opportunities, Challenges, and Student Perceptions",NOT_RELEVANT,,[N/A]
10.1145/3586183.3606786,Storyfier: Exploring Vocabulary Learning Support with Text Generation Models,NOT_RELEVANT,,[N/A]
10.1145/3698587.3701473,EEG-DIF: Early Warning of Epileptic Seizures through Generative Diffusion Model-based Multi-channel EEG Signals Forecasting,NOT_RELEVANT,,[N/A]
10.1145/3626772.3657855,TriviaHG: A Dataset for Automatic Hint Generation from Factoid Questions,NOT_RELEVANT,,[N/A]
10.1145/3527927.3532790,MIDISpace: Finding Linear Directions in Latent Space for Music Generation,NOT_RELEVANT,,[N/A]
10.14778/3611540.3611640,On the Cusp: Computing Thrills and Perils and Professional Awakening,NOT_RELEVANT,,[N/A]
10.1145/3657294,GANs in the Panorama of Synthetic Data Generation Methods,NOT_RELEVANT,,[N/A]
10.1145/3565472.3595606,A Comparative Analysis of Automatic Speech Recognition Errors in Small Group Classroom Discourse,NOT_RELEVANT,,[N/A]
10.1145/3665065.3665082,Quantum Generative Adversarial Networks: Bridging Classical and Quantum Realms,NOT_RELEVANT,,[N/A]
10.1145/3637989.3638020,ChatGPT in education: A comparative study of media framing in Japan and Malaysia,NOT_RELEVANT,,[N/A]
10.1145/3674912.3674922,Enhancing Pedagogy with Generative AI: Video Production from Course Descriptions,RELEVANT,upper-computing,[engineering courses]
10.1145/3639592.3639626,Design of an Assisted Learning System Based on ChatGPT,RELEVANT,,[N/A]
10.1145/3584371.3613036,Using Large Language Models to Translate Machine Results to Human Results,NOT_RELEVANT,,[N/A]
10.1145/3565516.3565519,Light Field GAN-based View Synthesis using full 4D information,NOT_RELEVANT,,[N/A]
10.1145/3651671.3651688,Lightweight Object Detection-Tracking using Deep Feature Distillation,NOT_RELEVANT,,[N/A]
10.1145/3571884.3603754,Deceptive AI Ecosystems: The Case of ChatGPT,NOT_RELEVANT,,[N/A]
10.1145/3531146.3533137,Making the Unaccountable Internet: The Changing Meaning of Accounting in the Early ARPANET,NOT_RELEVANT,,[N/A]
10.1145/3631700.3664900,Harmonizing Ethical Principles: Feedback Generation Approaches in Modeling Human Factors for Assisted Psychomotor Systems,NOT_RELEVANT,,[N/A]
10.1145/3491102.3501825,Design Guidelines for Prompt Engineering Text-to-Image Generative Models,NOT_RELEVANT,,[N/A]
10.1109/TASLP.2023.3331096,Gradual Syntactic Label Replacement for Language Model Pre-Training,NOT_RELEVANT,,[N/A]
10.1145/3650212.3652142,"CoEdPilot: Recommending Code Edits with Learned Prior Edit Relevance, Project-wise Awareness, and Interactive Nature",RELEVANT,upper-computing,[software projects]
10.1145/3614419.3644014,Reacting to Generative AI: Insights from Student and Faculty Discussions on Reddit,NOT_RELEVANT,,[N/A]
10.1145/3613904.3642332,"Testing, Socializing, Exploring: Characterizing Middle Schoolers’ Approaches to and Conceptions of ChatGPT",NOT_RELEVANT,,[N/A]
10.1145/3604915.3608795,Generative Learning Plan Recommendation for Employees: A Performance-aware Reinforcement Learning Approach,NOT_RELEVANT,,[N/A]
10.1145/3610977.3634950,Doodlebot: An Educational Robot for Creativity and AI Literacy,RELEVANT,lower-computing,12 AI education]
10.1145/3664934.3664945,Understanding Students'Attitudes and Behavioral Intentions Towards Using ChatGPT,NOT_RELEVANT,,[N/A]
10.1145/3678726.3678745,ARCS Model for Exploring the Enhancement of Learning Motivation and Engagement through AIGC Technology in Computer Graphics Courses,RELEVANT,upper-computing,[Computer Graphics]
10.1109/TASLP.2023.3321191,A Fast High-Fidelity Source-Filter Vocoder With Lightweight Neural Modules,NOT_RELEVANT,,[N/A]
10.1145/3491101.3503736,AI-Generated Characters: Putting Deepfakes to Good Use,NOT_RELEVANT,,[N/A]
10.1145/3675812.3675843,Navigating the Application Challenges of ChatGPT in Education: Promoting Responsible Use and Minimizing Mental Risks,RELEVANT,,[N/A] (The paper discusses the use of ChatGPT in education but does not specify a particular computing course.)
10.1145/3700297.3700315,Overview of Artificial Intelligence Applications in Educational Research,NOT_RELEVANT,,[N/A]
10.1145/3657604.3664658,"Three Paradoxes to Reconcile to Promote Safe, Fair, and Trustworthy AI in Education",NOT_RELEVANT,,[N/A]
10.1145/3643834.3661581,RetAssist: Facilitating Vocabulary Learners with Generative Images in Story Retelling Practices,NOT_RELEVANT,,[N/A]
10.1145/3606094.3606101,The Ethics of AI Assisted Learning: A Systematic Literature Review on the Impacts of ChatGPT Usage in Education,RELEVANT,,[N/A] (The paper discusses the use of ChatGPT in education but does not specify a particular computing course.)
10.1145/3487891,Video Generative Adversarial Networks: A Review,NOT_RELEVANT,,[N/A]
10.1145/3589649,ChatGPT for Next Generation Science Learning,RELEVANT,,[N/A] (The paper discusses the use of ChatGPT in science learning but does not specify a particular computing course.)
10.1145/3640543.3645213,AI Comes Out of the Closet: Using AI-Generated Virtual Characters to Help Individuals Practice LGBTQIA+ Advocacy,NOT_RELEVANT,,[N/A]
10.1145/3604237.3626880,JAX-LOB: A GPU-Accelerated limit order book simulator to unlock large scale reinforcement learning for trading,NOT_RELEVANT,,[N/A]
10.1145/3610537.3622957,"AI N\""ushu (Women's scripts) - An Exploration of Language Emergence in Sisterhood",NOT_RELEVANT,,[N/A]
10.1145/3638985.3638998,Pluralistic Face Completion of Masked Face based on 3D priors,NOT_RELEVANT,,[N/A]
10.1145/3612783.3612796,Design and development of the LATILL platform for retrieving adequate texts to foster reading skills in German,NOT_RELEVANT,,[N/A]
10.1145/3675585.3675587,Students'perception of the use of AI Detector System by faculty members in determining the originality of submitted academic requirements,NOT_RELEVANT,,[N/A]
10.1145/3625704.3625748,Analyzing Diverse Issues on AI Education in South Korea: Focusing on news editorials text mining,NOT_RELEVANT,,[N/A]
10.1145/3544549.3583931,Explore the Future Earth with Wander 2.0: AI Chatbot Driven By Knowledge-base Story Generation and Text-to-image Model,NOT_RELEVANT,,[N/A]
10.1145/3657604.3664669,Comparing Expert and ChatGPT-authored Guidance Prompts,RELEVANT,,[N/A] (The paper discusses the use of generative AI for educational guidance but does not specify a particular computing course.)
10.1145/3627989,Fintech Key-Phrase: A New Chinese Financial High-Tech Dataset Accelerating Expression-Level Information Retrieval,NOT_RELEVANT,,[N/A]
10.1145/3605098.3636113,Bayesian Soft Actor-Critic: A Directed Acyclic Strategy Graph Based Deep Reinforcement Learning,NOT_RELEVANT,,[N/A]
10.1145/3696500.3696575,Research on the scenario application of generative artificial intelligence in ideological and political education of colleges and universities,NOT_RELEVANT,,[N/A]
10.1145/3613904.3642592,More than Model Documentation: Uncovering Teachers' Bespoke Information Needs for Informed Classroom Integration of ChatGPT,NOT_RELEVANT,,[N/A]
10.1145/3660043.3660172,Research on the Application of AI in Personalized Education,NOT_RELEVANT,,[N/A]
10.1145/3532512.3539664,Automatic Programming and Education,RELEVANT,lower-computing,[N/A]
10.1145/3536169.3537785,Food for Advanced Computational Thinking: Critical and Creative Approaches to Technology at Te Kura Taurua Manurewa,NOT_RELEVANT,,[N/A]
10.1145/3613905.3636268,Challenges and Opportunities for Responsible Prompting,RELEVANT,upper-computing,[N/A]
10.1145/3660853.3660863,"The use of ChatGPT to generate Summative Feedback in Programming Assessments that is Consistent, Prompt, without Bias and Scalable",RELEVANT,upper-computing,[N/A]
10.1145/3592762,DNBP: Differentiable Nonparametric Belief Propagation,NOT_RELEVANT,,[N/A]
10.1145/3563359.3596996,Children on ChatGPT Readability in an Educational Context: Myth or Opportunity?,NOT_RELEVANT,,[N/A]
10.1145/3613905.3636273,HCI History and the Trajectory to Generative AI,NOT_RELEVANT,,[N/A]
10.1145/3641235.3664438,Empowering Creativity with Generative AI in Digital Art Education,NOT_RELEVANT,,[N/A]
10.1145/3655693.3655703,Increasing Detection Rate for Imbalanced Malicious Traffic using Generative Adversarial Networks,NOT_RELEVANT,,[N/A]
10.1145/3589335.3651511,Generating Privacy-preserving Educational Data Records with Diffusion Model,NOT_RELEVANT,,[N/A]
10.1145/3632860,Programming-by-Demonstration for Long-Horizon Robot Tasks,NOT_RELEVANT,,[N/A]
10.1145/3623509.3633394,Tangible Diffusion: Exploring Artwork Generation via Tangible Elements and AI Generative Models in Arts and Design Education,NOT_RELEVANT,,[N/A]
10.1145/3583780.3615317,Generative AI and the Future of Information Access,NOT_RELEVANT,,[N/A]
10.1145/3661904.3661918,SPringBoard:AI-powered Ideation System for Technopreneurship,NOT_RELEVANT,,[N/A]
10.1145/3660853.3660923,A Novel End-to-End Framework for Story Generation Using Deep Neural Networks,NOT_RELEVANT,,[N/A]
10.1145/3587399.3587462,Interaction Design as Project-Based Learning: Perspectives for Unsolved Challenges,NOT_RELEVANT,,[N/A]
10.1145/3631700.3665231,LLMs for Knowledge Modeling: NLP Approach to Constructing User Knowledge Models for Personalized Education,RELEVANT,upper-computing,[N/A]
10.1145/3610978.3640559,Adaptive Second Language Tutoring Using Generative AI and a Social Robot,NOT_RELEVANT,,[N/A]
10.1145/3573051.3593399,Introducing an Open-source Adaptive Tutoring System to Accelerate Learning Sciences Experimentation,RELEVANT,lower-computing,"computing courses, but does not specify a particular course.)"
10.1145/3625704.3625732,The impacts and responses of ChatGPT on education,NOT_RELEVANT,,[N/A]
10.1145/3670691,A Reasoning and Value Alignment Test to Assess Advanced GPT Reasoning,NOT_RELEVANT,,[N/A]
10.1145/3644713.3644797,Lecturers perceptions of using Artificial Intelligence in Tertiary Education in Uzbekistan,RELEVANT,upper-computing,"computing courses, but does not specify a particular course.)"
10.1145/3610977.3638459,Social-Digital Vulnerability,NOT_RELEVANT,,[N/A]
10.1145/3585088.3593867,Design implications of generative AI systems for visual storytelling for young learners,NOT_RELEVANT,,[N/A]
10.1145/3675812.3675877,Investigating Factors Influencing University Students' Use of intelligent Audio Reading Platform for Reading and Learning,RELEVANT,upper-computing,"computing courses, but does not specify a particular course.)"
10.1145/3696952.3696985,Profiling Chinese Student Interpreters’ Usage Intention of ChatGPT-assisted Translation by Q Methodology Based on Technology Acceptance Model,NOT_RELEVANT,,[N/A]
10.1145/3630106.3659023,Responsible Adoption of Generative AI in Higher Education: Developing a “Points to Consider” Approach Based on Faculty Perspectives,RELEVANT,upper-computing,"computing courses, but does not specify a particular course.)"
10.1145/3700297.3700306,The Effects of ChatGPT on English Language Learning in Regards to Language Proficiency and Learning Motivation,NOT_RELEVANT,,[N/A]
10.1145/3689040,The Choreographer-Performer Continuum: A Diffraction Tool to Illuminate Authorship in More Than Human Co-Performances,NOT_RELEVANT,,[N/A]
10.1145/3637208,Teaching Transformed,RELEVANT,upper-computing,"computing courses, but does not specify a particular course.)"
10.1145/3597434,Unifying Dual-Attention and Siamese Transformer Network for Full-Reference Image Quality Assessment,NOT_RELEVANT,,[N/A]
10.1145/3580305.3599412,Learning to Schedule in Diffusion Probabilistic Models,NOT_RELEVANT,,[N/A]
10.1145/3589334.3649116,"AI Deepfakes on the Web: The 'Wicked' Challenges for AI Ethics, Law and Technology",NOT_RELEVANT,,[N/A]
10.1145/3643834.3661498,Exploring Aesthetic Qualities of Deep Generative Models through Technological (Art) Mediation,NOT_RELEVANT,,[N/A]
10.1145/3613904.3642677,Exploring Collaborative Movement Improvisation Towards the Design of LuminAI—a Co-Creative AI Dance Partner,NOT_RELEVANT,,[N/A]
10.1145/3510361,SUMMER: Bias-aware Prediction of Graduate Employment Based on Educational Big Data,NOT_RELEVANT,,[N/A]
10.1145/3610978.3638374,Shaping Relatable Robots: A Child-Centered Approach to Social Personalization,NOT_RELEVANT,,[N/A]
10.1145/3658644.3691418,Poster: Unmasking Label Errors: A need for Robust Cybersecurity Benchmarks,NOT_RELEVANT,,[N/A]
10.1145/3531146.3533138,Robots Enact Malignant Stereotypes,NOT_RELEVANT,,[N/A]
10.1145/3502181.3531457,Machine Learning Assisted HPC Workload Trace Generation for Leadership Scale Storage Systems,NOT_RELEVANT,,[N/A]
10.1109/TNET.2023.3270565,Realizing Fine-Grained Inference of AS Path With a Generative Measurable Process,NOT_RELEVANT,,[N/A]
10.1145/3591196.3593363,NEEDLE WORK-Revealing relational agency aesthetics of craft through human/robot interaction,NOT_RELEVANT,,[N/A]
10.1145/3620666.3655589,Societal infrastructure in the age of Artificial General Intelligence,NOT_RELEVANT,,[N/A]
10.1145/3677892.3677941,A Bibliometric Comparison of Chinese and International Research in the Field of Generative AI,NOT_RELEVANT,,[N/A]
